Site,PTR40-0913,PTC70-0617,TTH47-20171120,TTY70-20170706,TTR83-1202,NTH71-0913,PTS52-0729,PD10_ZZM_TTC33-20170512,TTC1-20171208,TTC92-0729,TTR156-0913,TTR168-0913,TTR47-0617,TTR102-0913,NTC34-1010,PTH38-20171219,TTY31-0913,PTC20-20171120,TTY21-20170706,NTH11-20171219,TTY65-1011,TTH23-0616P,TTH102-20171120,TTC160-0617,PTR53-0616A,PTH23-0729,TTC21-20170706,PTR62-1011,TTC176-0617,TTY21-0616A,NTH-30-0617,TTR43-1010,NTC55-1202,PD10_ZZM_TTH4-0616A,PTR57-1010,NTS33-0729,TTR12-0617,TTH80-0913,TTR61-0617,PTR45-1011,PTC19-1010,TTC70-1202,PD10_ZZM_LNTC34-0512,TTC150-0616A,NTC15-0913,TTC267-1011,PTH66-0729,PD10_ZZM_TTC9-20170512,NTC81-0729,TTY42-20171120,PTC40-20171120,NTS-49-0617,NTC5-1010,TTR133-0616A,TTY91-1202,NTY56-1202,TTH149-0913,PTY2-20171120,PTH81-0913,TTR108-1010,TTC51-0913,PD10_ZZM_PTC68-20171208,NTH94-0729,PTC78-0913,PTS74-0729,TTH96-20171120,TTS56-0617,PTR108-0617,PTH6-20171120,PTC91-20171120,TTC145-0729,PTR56-0913,PTS25-0729,TTR20-0617,TTC30-20171219,PTC31-1010,TTR78-0617,PTC49-0913,TTC157-20171120,TTR48-1010,start,end
12_51292341_51295795,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,46.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12_51292341,12_51295795
12_53034724_53037408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_53034724,12_53037408
12_53034709_53037408,35.0,,,,,,,,,,,36.0,,,,158.0,,31.0,,,35.0,,,89.0,98.0,,,,,,,22.0,10.0,92.0,,,53.0,,31.0,46.0,53.0,,,88.0,,,,,,56.0,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,25.0,,15.0,12_53034709,12_53037408
12_53296551_53297849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,1.0,,,,,,,,1.0,,,,,,15.0,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,12_53296551,12_53297849
12_53296275_53297849,162.0,190.0,374.0,,132.0,12.0,86.0,50.0,,33.0,130.0,48.0,21.0,132.0,53.0,,50.0,86.0,93.0,21.0,,32.0,126.0,32.0,131.0,40.0,,1.0,,45.0,108.0,136.0,80.0,64.0,101.0,49.0,19.0,45.0,57.0,,65.0,53.0,230.0,,293.0,157.0,174.0,39.0,46.0,,90.0,31.0,,22.0,,35.0,42.0,604.0,61.0,113.0,98.0,112.0,173.0,341.0,27.0,66.0,,,308.0,86.0,15.0,26.0,28.0,49.0,,78.0,37.0,,219.0,64.0,12_53296275,12_53297849
12_53295639_53297849,10.0,,,,,,,9.0,,,,,,,,,,6.0,,,,,,,13.0,,,14.0,,5.0,22.0,7.0,25.0,4.0,,,,,,,,,12.0,20.0,1.0,,,,,,,10.0,,,,,35.0,,20.0,32.0,7.0,,,,,,,,17.0,,,,,15.0,,,,,14.0,,12_53295639,12_53297849
12_53441792_53442694,,,17.0,21.0,,14.0,13.0,,11.0,,,11.0,,,21.0,,,15.0,,60.0,16.0,,,40.0,,10.0,11.0,,,,,,,97.0,,,11.0,,,,39.0,14.0,11.0,13.0,,,,,21.0,22.0,21.0,,,,14.0,,,,,,20.0,19.0,,6.0,,37.0,,,,,,,,1.0,,,,,15.0,10.0,12_53441792,12_53442694
12_53441800_53442694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,1.0,,,,,,,,10.0,,,,,15.0,,12_53441800,12_53442694
12_53464852_53465931,,,,,,,,,,,,,,,,,,,31.0,144.0,,,,,,,54.0,54.0,37.0,,,,,,,,44.0,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,,27.0,,,,,,22.0,,,12_53464852,12_53465931
12_53462567_53465931,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,42.0,,,,,11.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12_53462567,12_53465931
12_53467843_53468776,,,,,,,,,,,,,,,,,,,32.0,145.0,,,,,,,66.0,19.0,,,,52.0,,,,,15.0,,,,,,,,,,,78.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,12_53467843,12_53468776
12_53467293_53468776,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,12_53467293,12_53468776
12_54282874_54283811,181.0,45.0,86.0,59.0,44.0,21.0,51.0,,46.0,,539.0,114.0,41.0,11.0,14.0,259.0,505.0,59.0,62.0,29.0,64.0,77.0,102.0,61.0,256.0,16.0,152.0,357.0,65.0,132.0,,105.0,,93.0,192.0,26.0,227.0,35.0,65.0,386.0,,44.0,,235.0,195.0,93.0,,27.0,,,,28.0,73.0,109.0,135.0,,46.0,171.0,95.0,188.0,222.0,172.0,19.0,84.0,,55.0,33.0,13.0,130.0,50.0,,46.0,209.0,81.0,381.0,128.0,46.0,162.0,,94.0,12_54282874,12_54283811
12_54283234_54283811,,,,,,,,,,,,,,,,,,,,,34.0,,,104.0,,,88.0,,,,,38.0,,77.0,,,,,,,,,,,,,,,,,,,17.0,35.0,,,,,,,,,,,,,,65.0,,,,,,,,,,,,36.0,12_54283234,12_54283811
12_55914366_55927724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,48.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,12_55914366,12_55927724
12_55903480_55927724,,,,,21.0,,,,,,,,,,,,,,,197.0,,22.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_55903480,12_55927724
12_55931344_55936422,13.0,15.0,,,,,,,,,,,68.0,49.0,,,,70.0,,,29.0,101.0,18.0,,,,,,,,,11.0,,,21.0,,,,,121.0,,,80.0,,,,,,,38.0,73.0,,,,,,,10.0,72.0,,,65.0,,,,,,,28.0,,,,73.0,13.0,,,,114.0,,,12_55931344,12_55936422
12_55932123_55936422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_55932123,12_55936422
12_55937557_55937977,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_55937557,12_55937977
12_55937543_55937977,9.0,30.0,,,,,,,,,,,89.0,62.0,,,,73.0,,,28.0,106.0,22.0,,,,,,,,,49.0,,,40.0,,,42.0,,94.0,36.0,,62.0,,,,,,,30.0,98.0,12.0,,,,,,15.0,89.0,,,60.0,,,,,,,20.0,,,,89.0,21.0,,,,92.0,,,12_55937543,12_55937977
12_55938560_55938914,15.0,,,,,,,,,,,,61.0,51.0,,,,,,,24.0,83.0,22.0,,,,,,,,,51.0,,,32.0,,,,,45.0,31.0,,,,,,,,,32.0,103.0,,,,,,,,43.0,,,47.0,,,,,,,22.0,,,15.0,,15.0,,,,78.0,,,12_55938560,12_55938914
12_55938698_55938914,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_55938698,12_55938914
12_55942263_55951622,34.0,25.0,,,,,,,,,,,99.0,56.0,,,,,,,48.0,94.0,21.0,,,,,,,,,55.0,,,31.0,,,42.0,,54.0,,,73.0,,,72.0,,,,94.0,112.0,14.0,,,,40.0,,19.0,105.0,,,59.0,,,,,,,38.0,,,18.0,32.0,20.0,,,,91.0,,,12_55942263,12_55951622
12_55943418_55951622,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,25.0,,,,,,,28.0,,,,,,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12_55943418,12_55951622
12_55952099_55952340,30.0,31.0,,,,,,,,,,,115.0,60.0,,,,,,,36.0,84.0,29.0,,,,,,,31.0,,73.0,,,40.0,,,35.0,29.0,48.0,,,70.0,,,55.0,,,,122.0,134.0,23.0,,82.0,,44.0,,18.0,91.0,,,73.0,,,,,,,33.0,,,23.0,107.0,18.0,,,,49.0,,,12_55952099,12_55952340
12_55951783_55952340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_55951783,12_55952340
12_56116799_56117188,69.0,85.0,51.0,,,,,11.0,16.0,,112.0,14.0,,59.0,27.0,,,51.0,30.0,,10.0,47.0,18.0,,17.0,31.0,,30.0,,68.0,27.0,46.0,10.0,37.0,13.0,13.0,49.0,44.0,96.0,15.0,55.0,59.0,27.0,37.0,63.0,21.0,,,11.0,25.0,,22.0,30.0,,,23.0,52.0,25.0,19.0,,65.0,31.0,47.0,153.0,68.0,,16.0,,51.0,,,77.0,29.0,76.0,,145.0,,59.0,,13.0,12_56116799,12_56117188
12_56116863_56117188,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,13.0,,13.0,,,,,,,,,,,,,1.0,,,,,,,,,12_56116863,12_56117188
12_56159730_56159974,217.0,91.0,801.0,161.0,76.0,125.0,32.0,174.0,274.0,54.0,224.0,200.0,,659.0,593.0,80.0,309.0,147.0,118.0,269.0,335.0,403.0,599.0,133.0,223.0,29.0,224.0,53.0,41.0,254.0,24.0,1140.0,60.0,207.0,165.0,13.0,61.0,479.0,77.0,319.0,197.0,284.0,79.0,69.0,237.0,487.0,106.0,82.0,55.0,285.0,263.0,12.0,543.0,23.0,67.0,278.0,144.0,74.0,215.0,625.0,635.0,365.0,234.0,78.0,22.0,285.0,50.0,12.0,151.0,260.0,15.0,140.0,43.0,146.0,931.0,77.0,31.0,460.0,501.0,733.0,12_56159730,12_56159974
12_56159622_56159974,,,,,,,,,,,,,,,15.0,,,5.0,,,19.0,,,,,,,,6.0,,7.0,,,,,,,,,,,,,,62.0,,,2.0,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,12_56159622,12_56159974
12_56155198_56159974,1.0,,18.0,6.0,,,2.0,,6.0,,,2.0,,14.0,13.0,,1.0,,7.0,15.0,4.0,,13.0,,,2.0,,,,4.0,,11.0,,,,1.0,,1.0,1.0,,1.0,2.0,,,6.0,3.0,1.0,,,,1.0,,,,1.0,16.0,,,2.0,,5.0,,1.0,1.0,,6.0,,,,1.0,1.0,,,1.0,1.0,2.0,,6.0,17.0,6.0,12_56155198,12_56159974
12_56158711_56159974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,1.0,,,,,,,,,,,,1.0,12_56158711,12_56159974
12_56160670_56161386,,,,10.0,11.0,,,,,,,,,174.0,,,,,8.0,,,,,,,,,,,,,26.0,,,41.0,,,,,26.0,,,,,,,,,,,48.0,,,,8.0,,,,,71.0,,74.0,,,,,,,,,,,29.0,,,,,,,81.0,12_56160670,12_56161386
12_56160320_56161386,176.0,74.0,617.0,120.0,56.0,93.0,58.0,114.0,225.0,61.0,226.0,176.0,,325.0,607.0,58.0,174.0,105.0,130.0,251.0,259.0,262.0,447.0,112.0,160.0,67.0,96.0,34.0,70.0,147.0,37.0,792.0,53.0,166.0,64.0,29.0,68.0,308.0,59.0,164.0,125.0,414.0,61.0,59.0,310.0,331.0,102.0,73.0,67.0,190.0,115.0,12.0,296.0,24.0,41.0,344.0,114.0,56.0,154.0,264.0,488.0,149.0,218.0,60.0,17.0,240.0,54.0,20.0,127.0,170.0,28.0,128.0,17.0,165.0,620.0,62.0,33.0,331.0,407.0,439.0,12_56160320,12_56161386
12_56724523_56725262,40.0,,45.0,,,17.0,,,,,,,,16.0,113.0,117.0,22.0,47.0,10.0,,32.0,20.0,22.0,14.0,28.0,29.0,,75.0,16.0,,,72.0,21.0,33.0,,34.0,21.0,,,39.0,,,,104.0,31.0,26.0,22.0,14.0,,46.0,,,,,,,,,52.0,24.0,,19.0,34.0,,14.0,10.0,,,35.0,,,10.0,52.0,18.0,20.0,,,,13.0,39.0,12_56724523,12_56725262
12_56724549_56725262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_56724549,12_56725262
12_57107743_57108162,15.0,,,,,,,,,,,,,18.0,,,,,,,,,,,56.0,,,,,,,,,41.0,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,128.0,,,,45.0,39.0,12_57107743,12_57108162
12_57107314_57108162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,12_57107314,12_57108162
12_57473708_57474041,28.0,,,15.0,15.0,1.0,,53.0,40.0,,,,,74.0,,,,,18.0,,30.0,56.0,,,102.0,,54.0,11.0,,,,33.0,,,,,,,,15.0,,,,,,41.0,,,,,,,,,,17.0,,,,93.0,,,,,,,,,,,,,28.0,14.0,29.0,,40.0,25.0,,133.0,12_57473708,12_57474041
12_57472688_57474041,,,,,,50.0,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,67.0,,,,,,,,,,,,,39.0,,,,,,,,17.0,,,,,,,,,12_57472688,12_57474041
12_57476963_57477155,29.0,,11.0,,,47.0,,34.0,24.0,,,,,53.0,,,,53.0,,,33.0,23.0,,,66.0,,40.0,,,,,25.0,,,,,,,,,,14.0,,,,44.0,,26.0,,,,,,,,11.0,,,,65.0,,,,23.0,,,11.0,,,,,17.0,,,14.0,32.0,36.0,26.0,,100.0,12_57476963,12_57477155
12_57476651_57477155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_57476651,12_57477155
12_57477676_57477784,,,,,,,,13.0,,,,,,,,,,,,,19.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_57477676,12_57477784
12_57477680_57477784,22.0,,,,,12.0,,,,,,,,,,,,24.0,,,2.0,,,,35.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,17.0,,,,,,,,,12_57477680,12_57477784
12_57718421_57718992,45.0,45.0,,,,10.0,,,,,,40.0,,15.0,40.0,,,,,,95.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,43.0,,27.0,,29.0,27.0,,,,,,,,,,,,,,,,23.0,12.0,,,41.0,12_57718421,12_57718992
12_57718376_57718992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12_57718376,12_57718992
12_57719182_57720405,50.0,35.0,,,,,,,,,,25.0,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,23.0,,,,,,,,,,,,,,,,,,,,,38.0,12_57719182,12_57720405
12_57720263_57720405,,,,,,,,,,,,,,14.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,8.0,,42.0,,,27.0,,,,,,,,,,,,,,,,14.0,11.0,,,,12_57720263,12_57720405
12_62349307_62355330,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,28.0,,,,37.0,,,,,26.0,,,,,,,,,,,,,39.0,,,,61.0,51.0,,,,12_62349307,12_62355330
12_62325933_62355330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,12_62325933,12_62355330
12_6461390_6462033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,12_6461390,12_6462033
12_6460938_6462033,,,,,,,,,,,,50.0,,64.0,,,,,,,117.0,,16.0,,,,,,,,,,15.0,,,,,,,51.0,,,,,,131.0,,,55.0,,,,15.0,,85.0,,,,44.0,,,,,,,104.0,,,,,,,,,,108.0,,,74.0,,12_6460938,12_6462033
12_6551001_6555256,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,46.0,,,,,,,,,12_6551001,12_6555256
12_6551503_6555256,,,,,,,,,,,,,41.0,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,22.0,,,12_6551503,12_6555256
12_6566324_6566528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,12_6566324,12_6566528
12_6566336_6566528,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,12_6566336,12_6566528
12_6602154_6602375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,12_6602154,12_6602375
12_6602175_6602375,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,11.0,,,,,12_6602175,12_6602375
12_66138165_66138723,,,3.0,,,1.0,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,28.0,,,,,,,,,,,,,,,12_66138165,12_66138723
12_66138166_66138723,32.0,,148.0,,92.0,78.0,,,,16.0,,,,,,,,,,,65.0,,175.0,,35.0,,,,,42.0,,90.0,44.0,,,,92.0,,,,,,,148.0,,27.0,,,,,,,,,,42.0,,80.0,37.0,71.0,,,42.0,15.0,,,,,,,,,,,,53.0,,,45.0,142.0,12_66138166,12_66138723
12_66310608_66315241,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_66310608,12_66315241
12_66314163_66315241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,22.0,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12_66314163,12_66315241
12_6652767_6652935,2.0,,157.0,,,,,,,,,,,,,,1.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,31.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,12_6652767,12_6652935
12_6652770_6652935,34.0,,,,,,,,,,,,,,,,99.0,,,,,92.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_6652770,12_6652935
12_6728001_6728222,,,,,,,,,,,,37.0,,,,,,,,,,,27.0,,,,,,,,,,26.0,,,,,75.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_6728001,12_6728222
12_6724818_6728222,,,,,,38.0,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,35.0,48.0,,,,,,,,,,,,,,,,,,,,,,,12_6724818,12_6728222
12_6800471_6814141,44.0,,40.0,16.0,35.0,118.0,,,,,48.0,117.0,,34.0,,,44.0,,,,222.0,192.0,24.0,,242.0,23.0,,,,7.0,,40.0,,,67.0,,,10.0,,95.0,,,,,,,,,,,,18.0,,85.0,,26.0,170.0,,,87.0,,,,,,16.0,15.0,161.0,134.0,,,13.0,76.0,56.0,,,50.0,,,153.0,12_6800471,12_6814141
12_6789662_6814141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_6789662,12_6814141
12_68611043_68648698,,37.0,,16.0,,14.0,,14.0,47.0,,,10.0,37.0,29.0,69.0,145.0,,,,,,,11.0,17.0,12.0,,,,1.0,,,11.0,11.0,,22.0,,,25.0,,23.0,48.0,42.0,24.0,,,,,,,,60.0,,,,51.0,,28.0,23.0,,36.0,34.0,39.0,19.0,,12.0,62.0,,41.0,,,,33.0,,7.0,,39.0,,23.0,,43.0,12_68611043,12_68648698
12_68611052_68648698,,,,,,,,10.0,46.0,,,16.0,,,49.0,,,12.0,,,,,,,,,,,75.0,,,,,,,,,,,1.0,,26.0,,,,,,,,,,,47.0,20.0,,20.0,,,,3.0,,,,,,,,,,,,,33.0,5.0,,,19.0,,,,12_68611052,12_68648698
12_6944652_6945770,48.0,66.0,,,,,,,,,,11.0,,15.0,46.0,,11.0,,,,25.0,,,,,,,50.0,,42.0,,,,,,,,,,,52.0,,,,42.0,32.0,,,,,,,,,,,,48.0,25.0,10.0,,65.0,,45.0,,,,,,,,,3.0,,104.0,,,,113.0,20.0,12_6944652,12_6945770
12_6944565_6945770,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,12_6944565,12_6945770
12_6960945_6961125,,24.0,53.0,,,,,,,,,,,,34.0,,,,,,67.0,,,,97.0,,,64.0,,12.0,,23.0,80.0,,74.0,,10.0,108.0,,55.0,25.0,20.0,83.0,,,,,,,40.0,,,31.0,,,,43.0,,,21.0,119.0,69.0,,23.0,,15.0,,18.0,,,,82.0,,,567.0,53.0,,,,15.0,12_6960945,12_6961125
12_6960936_6961125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12_6960936,12_6961125
12_76459895_76487509,,,97.0,,11.0,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,19.0,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,12_76459895,12_76487509
12_76450979_76487509,,,123.0,33.0,,,,25.0,,,,,,,,,,,,,,,53.0,,21.0,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,19.0,,,,,42.0,,12_76450979,12_76487509
12_76450988_76487509,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,53.0,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,69.0,26.0,12.0,,,,,97.0,,,,,,,,,,,39.0,12_76450988,12_76487509
12_7929871_7930479,,,,,,,,,,,,10.0,,,,,,,,,22.0,,,110.0,37.0,,19.0,,,19.0,,,,,,,60.0,,,,,27.0,,,,30.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,86.0,,,,,,58.0,12_7929871,12_7930479
12_7827682_7930479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,12_7827682,12_7930479
12_79806333_79807225,,,,23.0,16.0,34.0,,,,,74.0,,,,,,,,,45.0,,,,,64.0,,,169.0,,13.0,,,,,,,,,,23.0,,49.0,,,,49.0,,,,,,,35.0,,15.0,,,,,,17.0,,,,,,,79.0,,,,,,,,,,,24.0,,12_79806333,12_79807225
12_79798584_79807225,,,,,,,,,,,,20.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,30.0,,,,,,,,,12_79798584,12_79807225
12_8941940_8942415,45.0,,,,,,,,88.0,,,35.0,,74.0,,,,,,111.0,93.0,,,,131.0,,68.0,,,,,,,,,,19.0,,,55.0,,,,,,162.0,,,,83.0,,,92.0,,30.0,29.0,,,,59.0,,,,,,,,,11.0,,,,,,,,,,53.0,70.0,12_8941940,12_8942415
12_8940869_8942415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,12_8940869,12_8942415
12_8946405_8949487,41.0,,,,,,,,91.0,,,,,49.0,,,,,,,20.0,,,,,,,,,,14.0,,,,,,,,,19.0,,,,,,64.0,35.0,,,,,,,,22.0,12.0,,,,17.0,,,,,,,,,,,,,45.0,,,13.0,,,,37.0,12_8946405,12_8949487
12_8946387_8949487,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,13.0,26.0,12_8946387,12_8949487
12_89492115_89525119,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,106.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,40.0,,,,,,,,,,,44.0,,,,,,,,,12_89492115,12_89525119
12_89497342_89525119,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,19.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,12_89497342,12_89525119
12_8992310_9008974,,8.0,,,,,,13.0,,,,,,,25.0,,,179.0,,,,,,,,,,,,,,,,,,,,,,,73.0,,,111.0,,,,,,,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,12_8992310,12_9008974
12_8995288_9008974,,163.0,,,,,,,,,,,,,71.0,,,197.0,,,,,,,89.0,,,,,,,,,,,,,,,,221.0,,64.0,,194.0,,100.0,,,,120.0,,85.0,,,,,,51.0,,,,,,,,,,,43.0,,,,73.0,,,,80.0,,,12_8995288,12_9008974
12_9009513_9058091,,,,,,,,14.0,,,,,,,,,,,,,,,,,90.0,,,,,18.0,,,,,,,,,,,166.0,,,,,,10.0,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_9009513,12_9058091
12_9009525_9058091,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,12_9009525,12_9058091
12_9655979_9656920,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,39.0,,88.0,,,,,,,,25.0,18.0,,59.0,,,,,,,,,14.0,,,,109.0,107.0,47.0,,,,,,,,127.0,,,,,,,,,,,,,12_9655979,12_9656920
12_9656697_9656920,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_9656697,12_9656920
12_9656649_9656920,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,12_9656649,12_9656920
